municipality,sk_0,hg,dsk,sk_maks
Høyanger,2.5,150,1.0,1000000.0
Jølster,3.5,350,1.0,7.5
Leikanger,2.5,150,1.0,1000000.0
Luster,3.0,150,1.0,1000000.0
Lærdal,2.5,150,1.0,1000000.0
Naustdal,3.0,150,1.0,1000000.0
Sogndal,2.5,150,1.0,1000000.0
Solund,2.0,150,1.0,1000000.0
Stryn,3.5,150,1.0,1000000.0
Vik,2.5,150,1.0,1000000.0
Årdal,2.5,150,1.0,1000000.0
Sunnfjord,3.5,150,1.0,1000000.0
Aukra,3.0,150,1.0,1000000.0
Aure,4.5,150,1.0,1000000.0
Averøy,3.5,150,1.0,1000000.0
Hustadvika,3.5,150,1.0,1000000.0
Fræna,3.5,150,1.0,1000000.0
Giske,3.0,150,1.0,1000000.0
Gjemnes,4.5,150,1.0,1000000.0
Halsa,4.5,150,1.0,1000000.0
Haram,2.5,150,1.0,1000000.0
Hareid,3.0,150,1.0,1000000.0
Herøy Møre og Romsdal,2.5,150,1.0,1000000.0
Kristiansund,3.5,150,1.0,1000000.0
Midsund,3.0,150,1.0,1000000.0
Molde,3.5,150,1.0,1000000.0
Nesset,4.5,150,1.0,1000000.0
Norddal,4.5,150,1.0,1000000.0
Rauma,4.5,150,1.0,1000000.0
Rindal,4.5,250,1.0,7.5
Sande,2.5,150,1.0,1000000.0
Skodje,4.0,150,1.0,1000000.0
Smøla,2.5,150,1.0,1000000.0
Stordal,4.5,150,1.0,1000000.0
Stranda,4.5,150,1.0,1000000.0
Sula,3.0,150,1.0,1000000.0
Sunndal,4.5,150,1.0,1000000.0
Surnadal,4.5,150,1.0,1000000.0
Sykkylven,4.5,150,1.0,1000000.0
Tingvoll,4.5,150,1.0,1000000.0
Ulstein,3.0,150,1.0,1000000.0
Vanylven,3.0,150,1.0,1000000.0
Vestnes,3.5,150,1.0,1000000.0
Volda,4.0,150,1.0,1000000.0
Ørskog,4.0,150,1.0,1000000.0
Fjord,4.5,150,1.0,1000000.0
Ørsta,4.5,150,1.0,1000000.0
Ålesund,3,150,1.0,1000000.0
Flatanger,3.0,150,1.0,1000000.0
Frosta,2.5,150,1.0,1000000.0
Frøya,2.5,150,1.0,1000000.0
Grong,3.0,150,1.0,7.5
Heim,4.5,150,1.0,1000000.0
Hitra,3.5,150,1.0,1000000.0
Holtålen,4.5,450,1.0,7.5
Høylandet,6.0,150,1.0,1000000.0
Inderøy,4.5,150,1.0,1000000.0
